seed,umap_dim,umap_neighbours,umap_min_dist,min_cluster_size,min_samples,dbcv,noise_frac,n_clusters,median_cluster_size,cluster_selection_method
42,5,13,0,25,,0.2416853653441588,0.45013807916538817,480,60.5,eom
42,5,13,0,25,5,0.19119169224845756,0.39415848419760663,699,49,eom
42,5,13,0,25,10,0.19758450290896498,0.42727830622890456,622,51,eom
42,5,13,0,50,,0.33264898840420576,0.42451672292114145,195,145,eom
42,5,13,0,50,5,0.21211001333828472,0.39867482356551087,342,117.5,eom
42,5,13,0,50,10,0.18146202245998616,0.42832348880024546,320,120,eom
42,5,13,0,100,,0.33249942101954194,0.4355534673212642,106,305.5,eom
42,5,13,0,100,5,0.2342173954811595,0.40261583307763116,205,216,eom
42,5,13,0,100,10,0.3078526110441942,0.36624539736115375,154,241.5,eom
42,5,13,0,200,,0.1898728052114461,0.4235290733353789,56,454,eom
42,5,13,0,200,5,0.33405381403668916,0.3384953206505063,97,390,eom
42,5,13,0,200,10,0.29904285187920104,0.3160958115986499,84,447,eom
42,5,13,0.1,25,,0.1804642445669255,0.5256597115679656,389,58,eom
42,5,13,0.1,25,5,0.18899499377989246,0.4506654648665235,591,52,eom
42,5,13,0.1,25,10,0.19291881599849353,0.4628049248235655,505,55,eom
42,5,13,0.1,50,,0.1235460615055525,0,2,52144,eom
42,5,13,0.1,50,5,0.22551709773172407,0.40554042651119976,248,118,eom
42,5,13,0.1,50,10,0.19624375028522795,0.42346195151887084,234,118.5,eom
42,5,13,0.1,100,,0.10334209254159554,0,2,52144,eom
42,5,13,0.1,100,5,0.2562826322287263,0.40866638539429273,137,250,eom
42,5,13,0.1,100,10,0.10824240943122271,0,2,52144,eom
42,5,13,0.1,200,,0.076582597,0,2,52144,eom
42,5,13,0.1,200,5,0.1275288360863111,0,2,52144,eom
42,5,13,0.1,200,10,0.10824240943122271,0,2,52144,eom
42,5,30,0,25,,0.20313562980541527,0.5036245780914391,406,69.5,eom
42,5,30,0,25,5,0.20000572296034408,0.42341400736422213,554,54,eom
42,5,30,0,25,10,0.21130490035821098,0.46330354403191165,513,55,eom
42,5,30,0,50,,0.31386125542906723,0.43611920834611845,179,149,eom
42,5,30,0,50,5,0.29168802535240923,0.38323680576864066,259,118,eom
42,5,30,0,50,10,0.2928463792185371,0.3972269100951212,237,130,eom
42,5,30,0,100,,0.30853829588711945,0.45377224608775696,106,267.5,eom
42,5,30,0,100,5,0.28857755859031636,0.3886161399202209,144,237.5,eom
42,5,30,0,100,10,0.31615402842148116,0.38295872967167843,143,231,eom
42,5,30,0,200,,0.35511971238298884,0.38165464866523474,43,565,eom
42,5,30,0,200,5,0.338061836,0.38165464866523474,87,426,eom
42,5,30,0,200,10,0.34288323357782124,0.35998389076403803,80,417,eom
42,5,30,0.1,25,,0.19123248204537413,0.4910632095734888,275,73,eom
42,5,30,0.1,25,5,0.17509073136070374,0.4981589444614913,486,57,eom
42,5,30,0.1,25,10,0.19956744826842102,0.45921870205584536,342,62,eom
42,5,30,0.1,50,,0.16763341136649446,0,2,52144,eom
42,5,30,0.1,50,5,0.22679477313920382,0.443176588,227,116,eom
42,5,30,0.1,50,10,0.22036024555851302,0.4643966707579012,216,117.5,eom
