config_id,seed,umap_dim,umap_neighbours,umap_min_dist,min_cluster_size,min_samples,dbcv,noise_frac,n_clusters,median_cluster_size,cluster_selection_method
202,42,15,50,0.0,200,5,0.4224203031785015,0.333978981282602,71,576.0,eom
202,0,15,50,0.0,200,5,0.339647289262768,0.3445554617980976,79,513.0,eom
202,1,15,50,0.0,200,5,0.287314998072959,0.35937020558453514,77,496.0,eom
202,2,15,50,0.0,200,5,0.3340796586648025,0.34381712181650814,75,499.0,eom
202,3,15,50,0.0,200,5,0.2788935110290138,0.34210072108008593,73,532.0,eom
202,4,15,50,0.0,200,5,0.2809163592246751,0.35777845965019944,78,547.5,eom
57,42,5,50,0.0,200,,0.4184980377074533,0.3597154034980055,48,554.0,eom
57,0,5,50,0.0,200,,0.24748166565809362,0.4217934949370973,54,546.5,eom
57,1,5,50,0.0,200,,0.3394463804851559,0.3671659251304081,47,565.0,eom
57,2,5,50,0.0,200,,0.31527932679383114,0.3611824946302547,48,542.0,eom
57,3,5,50,0.0,200,,0.18012582503129004,0.43491101564897205,54,539.0,eom
57,4,5,50,0.0,200,,0.3177395733316566,0.3850682724762197,49,563.0,eom
201,42,15,50,0.0,200,,0.3902409814305838,0.35133476526541885,48,570.0,eom
201,0,15,50,0.0,200,,0.293467364906592,0.374856167536054,49,567.0,eom
201,1,15,50,0.0,200,,0.2600776793185987,0.4053294722307456,51,564.0,eom
201,2,15,50,0.0,200,,0.3731041530174414,0.35513194231359313,46,569.0,eom
201,3,15,50,0.0,200,,0.3126835102141034,0.3697740871432955,47,580.0,eom
201,4,15,50,0.0,200,,0.36342397289377587,0.3619496011046333,46,590.5,eom
106,42,10,30,0.0,200,5,0.3837878330868717,0.32890648972077324,78,426.5,eom
106,0,10,30,0.0,200,5,0.2957221241629862,0.30519331083154344,71,468.0,eom
106,1,10,30,0.0,200,5,0.3801187879995062,0.32702707885854554,73,455.0,eom
106,2,10,30,0.0,200,5,0.31443039279232454,0.3591496624731513,83,466.0,eom
106,3,10,30,0.0,200,5,0.2755479263933023,0.34803620742559066,80,436.0,eom
106,4,10,30,0.0,200,5,0.3955817766257292,0.3311023320036821,74,489.0,eom
131,42,10,50,0.0,200,10,0.37830570227926613,0.33416116907026694,75,517.0,eom
131,0,10,50,0.0,200,10,0.26350390521266776,0.3415445688861614,72,505.5,eom
131,1,10,50,0.0,200,10,0.3235476452845277,0.36359888002454743,77,463.0,eom
131,2,10,50,0.0,200,10,0.3818966006388463,0.3339406259588831,73,509.0,eom
131,3,10,50,0.0,200,10,0.3052339676916277,0.3782793801779687,80,535.5,eom
131,4,10,50,0.0,200,10,0.37534203781608655,0.3367597422522246,73,539.0,eom
203,42,15,50,0.0,200,10,0.37735714468199877,0.33699946302546796,71,525.0,eom
203,0,15,50,0.0,200,10,0.3684601833941806,0.33720082847499233,70,565.5,eom
203,1,15,50,0.0,200,10,0.33945180041085027,0.35778804848112916,80,457.5,eom
203,2,15,50,0.0,200,10,0.2571565399943034,0.34762388769561214,75,490.0,eom
203,3,15,50,0.0,200,10,0.34186967656734957,0.3376515035286898,71,522.0,eom
203,4,15,50,0.0,200,10,0.2977959030280157,0.37919031911629336,83,474.0,eom
178,42,15,30,0.0,200,5,0.37395318267743033,0.3371528843203437,75,450.0,eom
178,0,15,30,0.0,200,5,0.26775149400715126,0.34365411169070265,81,449.0,eom
178,1,15,30,0.0,200,5,0.23782664165772333,0.31597115679656335,74,487.5,eom
178,2,15,30,0.0,200,5,0.37937378248974574,0.34698143602332004,76,422.5,eom
178,3,15,30,0.0,200,5,0.387959905915633,0.32572299785210185,74,433.0,eom
178,4,15,30,0.0,200,5,0.34780984347033944,0.31544377109542804,71,485.0,eom
130,42,10,50,0.0,200,5,0.3651416513420624,0.3431938478060755,77,543.0,eom
130,0,10,50,0.0,200,5,0.31475408200348676,0.30109888002454743,72,509.0,eom
130,1,10,50,0.0,200,5,0.25305587386106887,0.3561579472230746,75,521.0,eom
130,2,10,50,0.0,200,5,0.35207260495445236,0.3299324946302547,77,521.0,eom
130,3,10,50,0.0,200,5,0.29776005058098565,0.39155991101564896,86,466.5,eom
130,4,10,50,0.0,200,5,0.2901347834131626,0.3606646977600491,83,520.0,eom
195,42,15,50,0.0,50,,0.3559423227408571,0.41977984044185335,174,147.5,eom
195,0,15,50,0.0,50,,0.2814139611934582,0.4317850567658791,180,157.5,eom
195,1,15,50,0.0,50,,0.313068161086212,0.43594660938938323,180,153.5,eom
195,2,15,50,0.0,50,,0.33068150758532844,0.42257019024240566,172,154.5,eom
195,3,15,50,0.0,50,,0.2805112983686998,0.4329932494630255,180,152.5,eom
195,4,15,50,0.0,50,,0.30422843467005534,0.42083461184412396,177,158.0,eom
33,42,5,30,0.0,200,,0.35511971238298884,0.38165464866523474,43,565.0,eom
33,0,5,30,0.0,200,,0.2572995507468889,0.4385739490641301,48,491.5,eom
33,1,5,30,0.0,200,,0.24273797450153103,0.4146594047253759,45,530.0,eom
33,2,5,30,0.0,200,,0.3293462731732061,0.3736767413316968,44,560.0,eom
33,3,5,30,0.0,200,,0.3012933136196734,0.402836376189015,44,599.0,eom
33,4,5,30,0.0,200,,0.26690334785576375,0.4052144062595888,46,550.5,eom
