config_id,umap_dim,umap_neighbours,min_cluster_size,min_samples,dbcv,noise,n_clusters,median_size
0,5,10,25,5,0.2115880273916269,0.41879368850610743,1291,47.0
1,5,10,25,12,0.20710791590981342,0.4524410566087545,1107,49.0
2,5,10,25,25,0.20575417197394663,0.4796812354600802,857,55.0
3,5,10,50,10,0.23074595895604194,0.44472493084085424,552,109.0
4,5,10,50,25,0.2699359200201227,0.432570520329764,409,114.0
5,5,10,50,50,0.26861629498612893,0.43076110808625784,318,133.5
6,5,10,100,20,0.29702461551291637,0.39040406540282796,239,231.0
7,5,10,100,50,0.2877456041965064,0.3991321420911086,192,256.5
8,5,10,100,100,0.24915048182709051,0.4267958004036804,155,305.0
9,5,10,200,40,0.3190227124876689,0.3922079779130712,122,443.5
10,5,10,200,100,0.25139939975433784,0.39804869463831005,95,512.0
11,5,10,200,200,0.24069564589626385,0.4348969074999863,86,573.5
12,5,25,25,5,0.20233335314102507,0.4750669592524763,972,52.0
13,5,25,25,12,0.20398860972160257,0.4965929152436107,839,53.0
14,5,25,25,25,0.18610329820600138,0.5141480638189048,669,61.0
15,5,25,50,10,0.17421017265709135,0.47490196725458816,434,117.0
16,5,25,50,25,0.23648516879941953,0.4806216898480424,365,126.0
17,5,25,50,50,0.2476207197922029,0.4597557018484604,275,144.0
18,5,25,100,20,0.2578016486697975,0.41738025705753273,199,263.0
19,5,25,100,50,0.2860361258483285,0.43747078266704065,180,270.0
20,5,25,100,100,0.25444817073970893,0.45483344057813196,149,320.0
21,5,25,200,40,0.33343802872174894,0.3620089425662855,105,469.0
22,5,25,200,100,0.33403705326445315,0.3888256419563651,91,467.0
23,5,25,200,200,0.31478266573563274,0.4264218185418007,79,485.0
24,5,50,25,5,0.20835907831232084,0.48160614210210806,775,57.0
25,5,50,25,12,0.18972146506466772,0.4977643584286162,654,60.5
26,5,50,25,25,0.2414090891980981,0.46631138389788096,483,73.0
27,5,50,50,10,0.23380620623683396,0.433356982186364,355,127.0
28,5,50,50,25,0.2688729302664319,0.46270355887739445,316,143.0
29,5,50,50,50,0.25037223511168927,0.4490367217189966,259,161.0
30,5,50,100,20,0.3105115521117377,0.41888718397157737,192,259.5
31,5,50,100,50,0.2579915747445275,0.4198001396932249,167,290.0
32,5,50,100,100,0.219717614718173,0.4446754332414878,149,356.0
33,5,50,200,40,0.22701312528433384,0.4027124684452804,114,487.0
34,5,50,200,100,0.20417303621944094,0.44873423638953513,105,504.0
35,5,50,200,200,0.2167301553084522,0.4686102724017885,93,515.0
36,10,10,25,5,0.2110682796858426,0.4271862814653489,1331,48.0
37,10,10,25,12,0.23712219674945342,0.4497516870431784,1114,50.0
38,10,10,25,25,0.20380633290943231,0.46743332948352007,877,57.0
39,10,10,50,10,0.25605837421403227,0.42770875612532794,559,112.0
40,10,10,50,25,0.2935892806570711,0.41597782507548386,427,116.0
41,10,10,50,50,0.2856041798144996,0.4373112904024155,332,132.5
42,10,10,100,20,0.25411718905773334,0.4116770336638673,255,225.0
43,10,10,100,50,0.26949069345074633,0.4408036210243803,214,233.5
44,10,10,100,100,0.25968976559862905,0.4175122506558432,154,288.5
45,10,10,200,40,0.3167186546005342,0.37377287201570725,114,475.0
46,10,10,200,100,0.2502217082644754,0.0013859327822600604,5,1050.0
47,10,10,200,200,0.44555194019652034,0.0008414591892293223,4,7646.0
48,10,25,25,5,0.19070154266514341,0.4718111171608177,1028,52.0
49,10,25,25,12,0.1922358491409057,0.4927980992921843,874,53.5
50,10,25,25,25,0.19611146210752026,0.5137300840909216,718,58.5
51,10,25,50,10,0.21442037512402382,0.47858678854075576,469,115.0
52,10,25,50,25,0.25471491710674904,0.4475187953384261,359,128.0
53,10,25,50,50,0.2645092192645953,0.4693252377259703,284,145.5
54,10,25,100,20,0.235258000165049,0.4298811507641879,212,241.5
55,10,25,100,50,0.26811818193712555,0.4500211739730623,186,247.0
56,10,25,100,100,0.2515461220865826,0.4660088985684194,151,309.0
57,10,25,200,40,0.25981691796446627,0.41890368317136617,109,464.0
58,10,25,200,100,0.28386328956612694,0.4449009223052682,97,476.0
59,10,25,200,200,0.23499359849245013,0.47915876080010117,83,557.0
60,10,50,25,5,0.18523498025979773,0.4711511491692653,792,56.0
61,10,50,25,12,0.17863133951871163,0.49901279787930286,693,60.0
62,10,50,25,25,0.1900495433005614,0.5140710675532236,563,69.0
63,10,50,50,10,0.2633523010577551,0.43771277093060984,360,123.0
64,10,50,50,25,0.2780064489586295,0.43709680080516095,302,145.0
65,10,50,50,50,0.24839978172787253,0.44567088496207935,268,149.0
66,10,50,100,20,0.2707255865342139,0.4264218185418007,199,252.0
67,10,50,100,50,0.2641819088398911,0.4147843829574266,168,277.5
68,10,50,100,100,0.244534940160107,0.4509946267606021,148,305.5
69,10,50,200,40,0.25196664433194693,0.422660000989952,107,570.0
70,10,50,200,100,0.22671470018257162,0.4446314353753843,99,543.0
71,10,50,200,200,0.18591977454969663,0.44488992283874235,86,495.0
72,15,10,25,5,0.2222696384724497,0.42793424518910833,1345,49.0
73,15,10,25,12,0.21208284976472325,0.45417347258657953,1122,50.0
74,15,10,25,25,0.2283653240002255,0.4783667992102383,877,55.0
75,15,10,50,10,0.23227462001190147,0.421268568474429,546,108.0
76,15,10,50,25,0.31244646954337996,0.41813372051455505,415,119.0
77,15,10,50,50,0.2608703144873241,0.44895422572005256,339,129.0
78,15,10,100,20,0.2773044138734431,0.41397042243451193,248,225.5
79,15,10,100,50,0.34149659887502337,0.3585826087434759,182,246.0
80,15,10,100,100,0.2803406368925757,0.42291848845331004,160,292.5
81,15,10,200,40,0.33709815862284026,0.3883636643622784,122,476.0
82,15,10,200,100,0.47609625127055916,0.0008084607896517019,4,7640.0
83,15,10,200,200,0.49476368571883017,0.0009514538544880574,4,7639.5
84,15,25,25,5,0.1756754224836261,0.46632788309766976,1019,51.0
85,15,25,25,12,0.17473987167823254,0.4983803285540651,861,53.0
86,15,25,25,25,0.16079728423299666,0.503957058082683,711,58.0
87,15,25,50,10,0.20513781140875278,0.46773031507971863,468,107.5
88,15,25,50,25,0.2139845615259529,0.45439896165036,362,125.0
89,15,25,50,50,0.2579432704261725,0.46708684628795505,281,145.0
90,15,25,100,20,0.26983605819259865,0.4309535987504606,209,244.0
91,15,25,100,50,0.26838483758940856,0.43308199552321713,177,255.0
92,15,25,100,100,0.22860774803634074,0.4522375664780258,147,291.0
93,15,25,200,40,0.358091079253615,0.3589455911388298,102,449.5
94,15,25,200,100,0.2738982532945595,0.4400721565004097,96,479.0
95,15,25,200,200,0.3243798657477855,0.41722076479290754,77,553.0
96,15,50,25,5,0.20488740959706656,0.49352406408289196,808,55.5
97,15,50,25,12,0.19250971118250831,0.49904579627888046,693,60.0
98,15,50,25,25,0.1567007220802447,0.5133726014288307,561,69.0
99,15,50,50,10,0.26155420037747235,0.4404406386290265,368,124.0
