config_id,umap_dim,umap_neighbours,min_cluster_size,min_samples,seed,dbcv,noise,n_clusters,median_size
93.0,15.0,25.0,200.0,40.0,42,0.358091079253615,0.3589455911388298,102,449.5
93.0,15.0,25.0,200.0,40.0,0,0.2485544532780102,0.40744223905140603,106,503.0
93.0,15.0,25.0,200.0,40.0,1,0.24530687747243574,0.4243814175012512,109,491.0
93.0,15.0,25.0,200.0,40.0,2,0.32627101750995846,0.3682951376858222,102,466.0
93.0,15.0,25.0,200.0,40.0,3,0.711874433068173,0.0003244842625132681,3,1060.0
93.0,15.0,25.0,200.0,40.0,4,0.29365785926343024,0.4323725299322983,108,485.5
79.0,15.0,10.0,100.0,50.0,42,0.34149659887502337,0.3585826087434759,182,246.0
79.0,15.0,10.0,100.0,50.0,0,0.26127022409077844,0.3943528738856166,199,238.0
79.0,15.0,10.0,100.0,50.0,1,0.2787299217232668,0.3440138153299565,173,244.0
79.0,15.0,10.0,100.0,50.0,2,0.2736121533740856,0.40132653566302035,199,231.0
79.0,15.0,10.0,100.0,50.0,3,0.29221858316882743,0.4420740594081187,208,229.5
79.0,15.0,10.0,100.0,50.0,4,0.24749934097825257,0.4276427593261727,208,231.5
81.0,15.0,10.0,200.0,40.0,42,0.33709815862284026,0.3883636643622784,122,476.0
81.0,15.0,10.0,200.0,40.0,0,0.34273484636185286,0.33399880105814866,104,488.0
81.0,15.0,10.0,200.0,40.0,1,0.3580793300979975,0.3685481254159173,117,493.0
81.0,15.0,10.0,200.0,40.0,2,0.1783867378570639,0.0011604437184796537,4,7609.0
81.0,15.0,10.0,200.0,40.0,3,0.3444435063494172,0.0006269695919747892,4,7634.0
81.0,15.0,10.0,200.0,40.0,4,0.2763394160195649,0.3705940261897298,109,506.0
22.0,5.0,25.0,200.0,100.0,42,0.33403705326445315,0.3888256419563651,91,467.0
22.0,5.0,25.0,200.0,100.0,0,0.3023975843618714,0.3946003618824487,87,479.0
22.0,5.0,25.0,200.0,100.0,1,0.26001163682130124,0.4609106458336771,98,547.0
22.0,5.0,25.0,200.0,100.0,2,0.2426980037336042,0.4530515270009405,99,537.0
22.0,5.0,25.0,200.0,100.0,3,0.24639816369610407,0.45346950672892367,98,523.5
22.0,5.0,25.0,200.0,100.0,4,0.2307694316734797,0.4537774917916481,101,509.0
21.0,5.0,25.0,200.0,40.0,42,0.33343802872174894,0.3620089425662855,105,469.0
21.0,5.0,25.0,200.0,40.0,0,0.25705323555694115,0.415180363752358,114,507.5
21.0,5.0,25.0,200.0,40.0,1,0.3255398085182493,0.3738718672144401,103,439.0
21.0,5.0,25.0,200.0,40.0,2,0.3040292582910283,0.4152023626854098,113,472.0
21.0,5.0,25.0,200.0,40.0,3,0.2747984388735482,0.4077667233139193,114,456.5
21.0,5.0,25.0,200.0,40.0,4,0.3668372736891927,0.35797213835128994,100,471.5
95.0,15.0,25.0,200.0,200.0,42,0.3243798657477855,0.41722076479290754,77,553.0
95.0,15.0,25.0,200.0,200.0,0,0.2642341624999181,0.45928272478784776,76,756.0
95.0,15.0,25.0,200.0,200.0,1,0.2747347540799178,0.4172152650596446,74,597.0
95.0,15.0,25.0,200.0,200.0,2,0.29891933435016427,0.4186451957080082,75,565.0
95.0,15.0,25.0,200.0,200.0,3,0.34755320577009385,0.41009311048414154,72,569.0
95.0,15.0,25.0,200.0,200.0,4,0.22654385459839427,0.4698807107855269,82,607.5
9.0,5.0,10.0,200.0,40.0,42,0.3190227124876689,0.3922079779130712,122,443.5
9.0,5.0,10.0,200.0,40.0,0,0.2606234151643325,0.37508730826554915,121,479.0
9.0,5.0,10.0,200.0,40.0,1,0.22169781660153962,0.000588471459134232,5,1067.0
9.0,5.0,10.0,200.0,40.0,2,0.41178896918825686,0.3413409449641692,102,490.0
9.0,5.0,10.0,200.0,40.0,3,0.09198972613786931,0.00047847679387549706,4,7644.5
9.0,5.0,10.0,200.0,40.0,4,0.3197059549778561,0.40590231373778374,121,466.0
45.0,10.0,10.0,200.0,40.0,42,0.3167186546005342,0.37377287201570725,114,475.0
45.0,10.0,10.0,200.0,40.0,0,0.412197166269298,0.33917405005857215,109,484.0
45.0,10.0,10.0,200.0,40.0,1,0.8107096594620241,0.0010174506536432984,4,7618.5
45.0,10.0,10.0,200.0,40.0,2,0.25529455950403634,0.3566467026349222,114,456.5
45.0,10.0,10.0,200.0,40.0,3,0.09683462956416868,0.00046197759408668677,4,7632.0
45.0,10.0,10.0,200.0,40.0,4,0.28864284458640327,0.40049057620705397,115,511.0
23.0,5.0,25.0,200.0,200.0,42,0.31478266573563274,0.4264218185418007,79,485.0
23.0,5.0,25.0,200.0,200.0,0,0.41600066698419663,0.3411429545667035,64,567.5
23.0,5.0,25.0,200.0,200.0,1,0.2791996197189669,0.4004465783409505,76,569.0
23.0,5.0,25.0,200.0,200.0,2,0.2878871768315826,0.464303981256909,82,590.0
23.0,5.0,25.0,200.0,200.0,3,0.31940286747429847,0.403009454041479,71,648.0
23.0,5.0,25.0,200.0,200.0,4,0.3392487677231846,0.4184472053105424,76,579.5
76.0,15.0,10.0,50.0,25.0,42,0.31244646954337996,0.41813372051455505,415,119.0
76.0,15.0,10.0,50.0,25.0,0,0.3026758515307503,0.4121445109912169,421,117.0
76.0,15.0,10.0,50.0,25.0,1,0.2881410644859893,0.41395942296798605,408,120.0
76.0,15.0,10.0,50.0,25.0,2,0.24246977584245824,0.44281652339861516,459,119.0
76.0,15.0,10.0,50.0,25.0,3,0.29036860784472185,0.4201741215551046,406,120.5
76.0,15.0,10.0,50.0,25.0,4,0.23754330158199696,0.42172504633525276,417,115.0
